"Tilaus","","Yritys","Variantti","Päivämäärä","Määrä","Tämä tuote","Kaikki tuotteet","Toimitus yhteensä","Alennukset yhteensä","Hinta yhteensä","Tila"
"39684","","","","25.6.2026 10:53:49","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"39679","","","","25.6.2026 09:29:54","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"39673","","","","25.6.2026 07:49:07","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"39630","","","","23.6.2026 19:30:04","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"39604","","","","23.6.2026 11:13:07","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"39479","","","- Aika: Viikko","17.6.2026 09:38:51","1 kpl","25.90  €","35.80  €","0.00  €","0.00  €","35.80  €","Maksettu"
"39424","","","- Aika: Viikko","15.6.2026 16:47:44","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"39422","","","- Aika: Viikko","15.6.2026 16:47:19","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"39229","","","","8.6.2026 16:08:14","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"39090","","","","2.6.2026 22:04:40","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"39043","","","","2.6.2026 07:01:56","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"39029","","","","1.6.2026 17:27:00","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"39023","","","","1.6.2026 15:17:13","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"38992","","","","31.5.2026 17:42:51","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"38764","","","","24.5.2026 15:58:42","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"38760","","","","24.5.2026 13:22:09","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"38606","","","","18.5.2026 15:45:14","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"38562","","","","17.5.2026 13:07:23","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"38424","","","","12.5.2026 16:07:35","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"38391","","","- Aika: Viikko","11.5.2026 16:22:57","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"38389","","","- Aika: Viikko","11.5.2026 16:18:27","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"38387","","","- Aika: Viikko","11.5.2026 16:17:09","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"38310","","","","9.5.2026 13:35:33","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"38183","","","- Aika: Viikko","6.5.2026 14:43:47","1 kpl","25.90  €","35.80  €","0.00  €","0.00  €","35.80  €","Maksettu"
"38166","","","","6.5.2026 08:40:40","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"38154","","","","5.5.2026 18:22:38","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"38118","","","","5.5.2026 11:05:20","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"37872","","","- Aika: Viikko","28.4.2026 11:20:15","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"37870","","","- Aika: Viikko","28.4.2026 11:17:47","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"37710","","","","23.4.2026 09:17:46","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"37700","","","","22.4.2026 17:04:24","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"37535","","","","16.4.2026 17:41:54","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"37342","","","","9.4.2026 20:56:18","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
